CERCID,RESEARCHER,SITE,TREATMENT,ORDER,INGFIRST,COREL.L,INGROUP,SUM1,COREL.S,SELF,SUM2,HONEST,SEX,AGE,AGE.C,FAMILY,CHILDREN,FORMALED,HOUSEHOLD,NATLANG,MAT1,MAT1C,MAT2,MAT2C,MAT3,MAT3C,MAT4,MAT4C,MMAT,MMATc,BGLG1ST,HIGHGOD.BG,OMNI.BG,DIEPUN,DKDIEPUN,MBG,BGR1,BGR2,BGTHINK,BGPERF,BGPERFHO,BGFREQW,BGPUNISH,BGSTEAL,BGSTLIMP,BGLYING,BGLIEIMP,BGMURDER,BGMURDIMP,BGFEEL,BGSEE,BGREWARD,BGDIE,BGSTRANGER,BGOTHERRIT,BGPERFC,HIGHGOD.LG,OMNI.LG,LGDIEPUN,MLG,LGR1,LGR2,LGTHINK,LGPERF,LGPERFHO,LGFREQW,LGPUNISH,LGSTEAL,LGSTEALIMP,LGLYING,LGLIEIMP,LGMURDER,LGMURDIMP,LGFEEL,LGSEE,LGREWARD,LGDIE,LGSTRANGER,LGOTHERRIT,LGPERFC,POLEVAL,CORELEMO,INGREMO,OUTGREMO,CORELSIM,BGTHINKH,BGFREQWH,BGSTEALH,BGLYINGH,BGMURDERH,BGREWARDH,LGTHINKH,LGFREQWH,LGSTEALH,LGLYINGH,LGMURDERH,LGREWARDH,POLEVALH,CORELEMOH,INGREMOH,OUTGREMOH
CERC302,Xygalatas,Mauritius,0,21,0,12,18,30,15,15,30,0,1,56,18.6,2,3,6,2,NA,0,0,1,-1,1,0,1,0,0.75,-0.25,1,0.75,1,0.5,0,3,0.67,0.67,3,1,4,2,0,0,4,2,1,0,4,1,1,2,1,1,1,0,0,0,0,2.67,0,0,0,0,0,0,0,2,2,2,2,0,4,0,0,0,0,0,0,0,1,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC303,Xygalatas,Mauritius,0,12,1,15,15,30,15,15,30,0,0,45,7.6,2,3,5,4,NA,1,0,1,-1,1,0,1,2,1,0.25,1,1,1,1,0,2.67,1,1,4,1,4,3,1,2,2,1,3,2,3,1,1,3,1,1,1,1,0,0,0,0,0.67,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC304,Xygalatas,Mauritius,0,21,0,19,11,30,21,9,30,0,1,61,23.6,2,3,6,6,NA,0,2,0,2,0,1,0,1,0,1.5,1,0.5,0.5,0.5,0,3.67,1,1,4,1,3,1,1,1,4,1,3,3,4,0,1,3,0,1,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC305,Xygalatas,Mauritius,0,12,1,19,11,30,19,11,30,0,1,37,-0.4,2,1,12,3,NA,1,-1,1,-1,1,-1,1,-1,1,-1,1,0.75,1,0.5,0,0.67,1,1,4,1,4,2,1,3,2,3,0,2,0,1,1,3,0,1,1,0,1,1,1,0.67,1,1,2,0,0,0,1,0,2,0,0,3,0,1,1,3,1,1,1,1,1,4,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC306,Xygalatas,Mauritius,0,21,0,16,14,30,15,15,30,0,1,55,17.6,2,3,6,6,NA,0,-1,0,-1,1,-1,0,-1,0.25,-1,1,0.5,1,0,0,1.33,1,1,4,1,4,3,0,1,4,0,0,0,0,1,1,3,0,1,1,1,0.25,0.5,0,3,0.33,0.33,2,0,0,1,0,0,4,0,4,2,1,0,1,1,0,0,1,1,2,5,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC307,Xygalatas,Mauritius,0,12,1,13,17,30,14,16,30,1,1,41,3.6,2,2,6,4,NA,0,2,0,1,0,1,0,2,0,1.5,1,1,1,1,0,2.33,1,1,4,1,4,3,1,1,2,2,2,2,3,1,1,3,1,1,1,1,1,1,1,1.67,0.33,0.33,0,1,4,0,1,0,2,0,0,3,3,1,1,1,1,1,1,1,-1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC308,Xygalatas,Mauritius,0,21,0,18,12,30,13,17,30,0,1,33,-4.4,1,0,6,5,NA,0,2,0,2,0,2,0,2,0,2,1,1,1,1,0,0,1,1,4,0,0,2,1,3,0,2,0,3,0,1,1,3,1,0,0,0,0.25,0,0.5,0,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC309,Xygalatas,Mauritius,0,21,0,7,23,30,15,15,30,0,1,21,-16.4,1,0,6,5,NA,0,2,0,2,0,-2,1,2,0.25,1,1,0.25,0,0.5,0,2,1,1,1,1,1,0,1,3,1,0,3,0,2,0,0,3,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC310,Xygalatas,Mauritius,0,12,1,15,15,30,15,15,30,1,1,26,-11.4,1,0,6,4,NA,0,2,1,-1,1,-1,1,-1,0.75,-0.25,1,1,1,1,0,0,1,1,4,0,0,1,1,2,0,3,0,2,0,1,1,3,1,1,0,1,0.75,0.5,1,1.33,0,0,4,0,0,0,1,0,2,0,0,0,2,1,0,0,1,1,1,1,1,4,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC311,Xygalatas,Mauritius,1,21,0,11,19,30,11,19,30,0,1,33,-4.4,1,0,9,3,NA,1,1,0,1,0,1,0,1,0.25,1,1,1,1,1,0,1.67,1,1,3,1,4,2,1,3,1,3,1,3,3,1,1,3,1,1,1,1,0,0,0,1,0.67,0.67,2,1,4,0,0,2,1,3,1,2,1,0,0,2,0,1,1,0,0,4,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CERC312,Xygalatas,Mauritius,1,12,1,17,13,30,15,15,30,0,1,36,-1.4,2,2,7,3,NA,0,0,1,-1,1,-1,1,-1,0.75,-0.75,1,0.75,1,0.5,0,3,1,1,1,1,4,2,1,2,4,2,2,3,3,1,1,3,0,1,1,1,1,1,1,2.67,0.67,0.67,0,0,0,3,1,1,2,3,3,2,3,1,1,2,1,0,1,1,1,2,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
