CERCID,SITE,SELFGAME,DISTANT,PROXIM,DIEPUN,OMNI.BG,AGE,SEX,CHILDREN,FORMALED,HONSAL,DISSAL,HONBIN,DISBIN,HONDIS,TREATMENT,INGFIRST,gamecheck,gmcheck.imp,HADZA
CERC124,Inland Tanna,1,14,16,0.5,1,30,0,5,4,NA,NA,0,0,0,0,1,0,0,0
CERC125,Inland Tanna,1,18,12,0.5,1,23,0,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC126,Inland Tanna,1,15,15,NA,NA,28,0,4,0,NA,NA,0,0,0,0,1,0,0,0
CERC127,Inland Tanna,1,16,14,1,1,40,0,5,0,NA,NA,0,0,0,0,1,0,0,0
CERC128,Inland Tanna,1,14,16,0.5,1,55,0,9,0,NA,NA,0,0,0,0,0,0,0,0
CERC129,Inland Tanna,1,14,16,1,1,70,0,7,0,NA,NA,0,0,0,0,0,0,0,0
CERC13,Coastal Tanna,1,14,16,1,1,21,0,1,10,NA,NA,0,0,0,0,1,0,0,0
CERC130,Inland Tanna,1,8,22,0.5,1,18,0,1,0,NA,NA,0,0,0,0,0,0,0,0
CERC131,Inland Tanna,1,10,20,0,NA,45,0,8,0,NA,NA,0,0,0,0,0,0,0,0
CERC132,Inland Tanna,1,19,11,NA,NA,20,0,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC133,Inland Tanna,1,19,11,0,0,50,0,5,0,NA,NA,0,0,0,0,0,0,0,0
CERC134,Inland Tanna,1,13,17,0.5,1,75,0,10,0,NA,NA,0,0,0,0,1,0,0,0
CERC135,Inland Tanna,1,14,16,NA,1,40,0,5,0,NA,NA,0,0,0,0,0,0,0,0
CERC136,Inland Tanna,1,16,14,NA,NA,40,0,5,0,NA,NA,0,0,0,0,1,0,0,0
CERC137,Inland Tanna,1,14,16,0,1,21,0,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC138,Inland Tanna,1,11,19,0.5,0,18,0,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC139,Inland Tanna,1,12,18,0.5,1,24,0,1,0,NA,NA,0,0,0,0,1,0,0,0
CERC14,Coastal Tanna,1,15,15,0,1,26,0,2,6,NA,NA,0,0,0,0,1,0,0,0
CERC140,Inland Tanna,1,14,16,0.5,1,21,0,0,4,NA,NA,0,0,0,0,0,0,0,0
CERC141,Inland Tanna,1,15,15,0.5,1,28,0,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC142,Inland Tanna,1,17,13,NA,NA,21,0,1,9,NA,NA,0,0,0,0,1,0,0,0
CERC143,Inland Tanna,1,14,16,NA,NA,20,0,0,0,NA,NA,0,0,0,0,1,0,0,0
CERC144,Inland Tanna,1,11,19,1,1,19,0,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC145,Inland Tanna,1,12,18,0,1,20,0,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC146,Inland Tanna,1,11,19,0.5,0,26,0,0,6,NA,NA,0,0,0,0,1,0,0,0
CERC147,Inland Tanna,1,15,15,1,1,51,0,7,0,NA,NA,0,0,0,0,0,0,0,0
CERC148,Inland Tanna,1,17,13,1,1,26,0,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC149,Inland Tanna,1,14,16,NA,NA,21,0,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC15,Coastal Tanna,1,18,12,1,1,21,0,0,2,NA,NA,0,0,0,0,0,0,0,0
CERC150,Inland Tanna,1,21,9,0,NA,23,0,1,0,NA,NA,0,0,0,0,0,0,0,0
CERC151,Inland Tanna,1,19,11,0.5,1,64,1,7,0,NA,NA,0,0,0,0,0,0,0,0
CERC152,Inland Tanna,1,15,15,0.5,1,68,1,11,0,NA,NA,0,0,0,0,0,0,0,0
CERC153,Inland Tanna,1,14,16,1,1,65,1,8,0,NA,0.75,0,1,1,0,0,0,0,0
CERC154,Inland Tanna,1,14,16,0.5,1,50,1,9,0,NA,NA,0,0,0,0,1,0,0,0
CERC155,Inland Tanna,1,15,15,1,1,45,1,6,0,NA,NA,0,0,0,0,1,0,0,0
CERC156,Inland Tanna,1,14,16,1,1,42,1,6,0,NA,NA,0,0,0,0,1,0,0,0
CERC157,Inland Tanna,1,13,17,0,1,38,1,5,0,NA,NA,0,0,0,0,1,0,0,0
CERC158,Inland Tanna,1,15,15,NA,NA,25,1,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC159,Inland Tanna,1,15,15,1,1,27,1,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC16,Coastal Tanna,1,13,17,NA,NA,31,0,4,10,0.5,0.5,1,1,2,0,1,0,0,0
CERC160,Inland Tanna,1,14,16,1,1,40,1,5,0,NA,NA,0,0,0,0,0,0,0,0
CERC161,Inland Tanna,1,12,18,NA,NA,38,1,4,0,NA,NA,0,0,0,0,1,0,0,0
CERC162,Inland Tanna,1,13,17,1,1,30,1,3,0,NA,NA,0,0,0,0,0,0,0,0
CERC163,Inland Tanna,1,7,23,0,0,33,1,3,0,NA,NA,0,0,0,0,1,0,0,0
CERC164,Inland Tanna,1,20,10,1,1,69,1,5,0,NA,0.666666667,0,1,1,0,0,0,0,0
CERC165,Inland Tanna,1,19,11,1,1,36,1,5,0,NA,NA,0,0,0,0,1,0,0,0
CERC166,Inland Tanna,1,15,15,0.5,1,60,1,10,0,NA,NA,0,0,0,0,1,0,0,0
CERC167,Inland Tanna,1,16,14,0.5,1,45,1,5,0,NA,NA,0,0,0,0,1,0,0,0
CERC168,Inland Tanna,1,15,15,1,1,27,1,1,0,NA,NA,0,0,0,0,0,0,0,0
CERC169,Inland Tanna,1,20,10,0.5,1,19,1,0,0,NA,NA,0,0,0,0,0,0,0,0
CERC17,Coastal Tanna,1,16,14,1,1,62,0,5,8,NA,NA,0,0,0,0,1,0,0,0
CERC170,Inland Tanna,1,12,18,0.5,1,19,1,0,0,0.25,NA,1,0,1,0,0,0,0,0
